"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
    Төвийн бүс,3,Бүгд,4700.56,4524.51,4762.95,4784.89,5214.35,5302.69,5142.52,4859.92,5184.71,5181.56,4919.05,4947.29,5217.9,5095.54,5001.97,4888.44,4933.22,4880.27,4988,5469.5,5693.11,5775.07,5777.16,5515.2,5754.29,6316.87,6710.61,7322.78,7946.2,7980.94,6792.7,6003.34,5737.31,5723.69,6252.79,6628.1,7071.31,8400.19,9619.36,10484.07,7557.95,8448.84,9463.89,10604.897,12288.448,13206.503,14154.425,15193.413,15428.459,16958.68,16691.037
    Төвийн бүс,3,Адуу,571.44,544.19,544.74,518.57,561.73,571.89,557.9,522.2,525.9,528.86,495.36,476.81,492.65,473.62,466.92,464.66,470.05,474.29,492.26,528.7,542.35,555.92,543.07,529.42,567.8,640.72,690.81,743.8,814.7,836.29,651.79,519.3,481.71,457.54,476.97,477.26,463.94,491.44,487.94,517.11,445.02,497.35,553.218,630.208,732.196,805.316,854.359,902.296,876.654,957.219,959.243
    Төвийн бүс,3,Үхэр,349.18,347.05,357.56,363.73,405.25,438.74,434.66,425.79,443.5,443.73,411.98,386.2,412.15,425.43,430.09,431.94,444.29,450.09,454.8,495.61,521.17,526.92,523.52,479.81,507.96,569.94,613.5,641.68,684.12,669.26,491.42,334.25,306.99,271.02,282.12,302.7,318.32,376.35,423.01,475.11,418.18,450.46,495.9,566.194,670.36,726.706,761.004,769.252,740.957,809.743,855.074
    Төвийн бүс,3,Тэмээ,304.01,304.33,301.2,274.99,278.84,288.82,281.2,285.55,287.78,293.24,277.96,272.12,274.79,275.44,274.34,270.06,262.57,258.22,263.28,267.15,252.19,223.88,195.99,163.87,160.31,159.86,157.67,158.83,161.65,162.66,148.6,133.79,123.9,123.39,125.24,123.19,120.35,123.15,129.84,136.65,135,142.09,155.865,165.108,179.942,190.004,206.904,223.75,239.505,247.74,259.125
    Төвийн бүс,3,Хонь,2476.77,2389.14,2543.65,2620.16,2841.73,2832.52,2715.88,2518.68,2716.25,2736.26,2630.69,2714.4,2854.6,2821.49,2744.74,2689.11,2708.93,2675.89,2733.37,2974.18,3164.33,3178.17,3174.09,2946.78,2915.78,2992.96,3056.17,3236.9,3464.45,3545.01,3105.24,2685.75,2486.9,2368.82,2503.66,2696.32,2933.58,3430.85,3952.1,4450.89,3327.52,3606.16,4088.351,4591.058,5347.68,5735.423,6256.208,6678.147,6898.923,7428.866,7247.471
    Төвийн бүс,3,Ямаа,999.16,939.81,1015.8,1007.44,1126.8,1170.71,1152.89,1107.69,1211.28,1225.28,1103.06,1097.77,1183.7,1099.57,1085.87,1032.68,1047.38,1021.78,1044.29,1203.86,1213.07,1290.18,1340.49,1395.33,1602.45,1953.4,2192.46,2541.57,2821.29,2767.72,2395.65,2330.25,2337.8,2502.92,2864.8,3028.63,3235.13,3978.4,4626.47,4947.24,3232.23,3752.78,4170.556,4652.329,5358.27,5749.054,6075.95,6619.968,6672.42,7515.112,7370.124
            Төв,341,Бүгд,1323.15,1304.71,1345.36,1381.08,1511.74,1526.33,1344.5,1162.3,1267.83,1317.17,1308.96,1347.76,1436.59,1425.96,1375.09,1362.07,1390.09,1408.56,1457.22,1589.34,1711.38,1653.47,1687.94,1620.35,1629.91,1766.39,1867.94,2048.4,2238.55,2218.12,2022.14,1668.04,1597.95,1475.57,1551.38,1780.24,2173.24,2626.54,3002.96,3464.17,2710.71,2961.96,3244.721,3572.988,4181.51,4458.608,4705.866,4685.13,4582.435,4979.161,4887.52
            Төв,341,Адуу,180.83,178.98,170.11,159.06,167.12,178.39,166.15,152.94,152.95,154.99,152.9,153.38,158.54,157.24,154.19,156.52,163.48,170.57,180.82,195.75,203.26,210.34,205.37,207.29,220.07,247.31,261.57,280.33,302.7,303.64,249.52,192.68,185.77,165.16,169.23,179.44,197.87,215,212.73,233.07,199.84,222.97,246.658,283.635,330.971,360.803,382.598,375.559,341.372,371.434,364.705
            Төв,341,Үхэр,165.09,164.78,163.67,158.42,172.39,189.29,178.8,162.5,167.91,165.91,158.04,155.88,164.59,168.14,165.61,165.33,174.41,174.95,176.05,191.92,205.73,199.77,197.85,185.9,190.74,214.42,235.55,248.91,263.51,241.21,184.22,120.08,109.26,91.47,93.34,108.08,131.11,157.17,171.56,194.19,171.99,184.98,206.472,239.417,289.364,316.071,326.23,310.761,282.33,313.843,322.09
            Төв,341,Тэмээ,11.02,10.97,10.93,10.58,10.83,11.02,10.44,9.58,9.73,10,10.35,10.45,10.74,10.87,10.14,9.7,9.52,9.36,9.41,9.67,9.52,6.86,5.6,4.75,4.23,4.34,4.19,4.07,4.09,4.16,3.61,2.86,2.72,2.58,2.42,2.18,2.14,2.1,2.38,2.59,2.23,2.87,2.443,2.738,2.912,3.133,3.394,3.528,3.504,3.579,3.626
            Төв,341,Хонь,809.95,800.61,839.97,882.04,974.84,957.03,826.07,712.22,786.99,826.08,837.84,877.3,939.08,939.59,898.23,887.67,897.42,913.31,948.22,1025.82,1116.37,1061.67,1086.69,1011.9,982.61,1004.2,1020.31,1094.75,1172.62,1175.11,1101.23,894.56,806.78,724.78,744.79,855.65,1040.83,1249.27,1449.8,1714.47,1358.74,1462.27,1633.736,1815.912,2125.718,2271.185,2442.388,2461.124,2449.255,2619.759,2540.339
            Төв,341,Ямаа,156.26,149.37,160.69,170.98,186.57,190.6,163.03,125.07,150.25,160.19,149.83,150.75,163.64,150.12,146.92,142.86,145.25,140.37,142.72,166.18,176.49,174.84,192.43,210.5,232.26,296.13,346.33,420.34,495.63,494,483.56,457.86,493.42,491.58,541.6,634.89,801.3,1003.01,1166.5,1319.87,977.91,1088.88,1155.412,1231.286,1432.545,1507.416,1551.256,1534.158,1505.974,1670.546,1656.76
                Зуунмод,34101,Бүгд,,,,,,1.24,1.36,1.85,0.91,1.02,1.25,1.62,5.54,5.73,6.52,7.83,10.29,11.41,15.69,21.14,28.09,33.14,38.37,33.62,31.8,40.15,45.94,47.43,49.26,36.65,26.71,22.92,20.05,20.96,24.35,24.59,32.5,39.36,41.16,45.64,31.97,35.25,40.756,48.791,56.066,60.498,70.866,76.592,79.067,89.992,89.041
                Зуунмод,34101,Адуу,,,,,,0.57,0.63,0.92,0.22,0.23,0.27,0.3,0.79,0.72,0.69,0.9,1.53,1.75,2.21,2.99,3.9,4.69,4.36,3.54,3.58,5.34,5.76,6.11,6.42,4.16,2.55,2.11,1.66,1.62,1.97,2.08,2.91,3.12,3.27,3.41,3.34,3.93,4.766,5.731,6.452,7.708,9.317,10.062,9.467,10.47,10.378
                Зуунмод,34101,Үхэр,,,,,,0.37,0.47,0.58,0.54,0.58,0.69,0.82,1.36,1.48,1.65,1.9,2.06,2.25,2.63,3.24,3.62,4.08,4.38,3.65,3.71,4.75,5.48,5.36,5.05,3.35,2.74,2.03,1.95,1.85,2.04,2.26,2.78,3.17,2.85,3.01,2.69,2.94,3.415,4.088,4.997,5.676,6.197,6.561,5.759,6.658,6.381
                Зуунмод,34101,Тэмээ,,,,,,0.01,0.01,0.01,0,0,0,0,0.03,0.02,0.02,0.01,0,0,0,0.01,0.02,0.01,0.01,0.01,,0,0,0.01,0.01,0.01,0,0,,,,,,,,,,0,0.005,0.005,0.007,0.007,0.01,0.013,0.014,0.012,0.004
                Зуунмод,34101,Хонь,,,,,,0.14,0.11,0.11,0.03,0.06,0.08,0.16,2.65,2.75,3.38,4.15,5.67,6.19,9.37,12.92,17.57,20.84,25.09,21.89,19.89,23.78,26.81,26.58,27.89,21.69,15.08,12.98,10.46,10.75,11.81,11.42,14.8,17.47,19.08,21.61,14.61,15.84,18.743,22.331,25.491,27.27,31.796,35.472,37.915,42.519,41.801
                Зуунмод,34101,Ямаа,,,,,,0.15,0.15,0.23,0.12,0.15,0.2,0.34,0.72,0.77,0.79,0.87,1.02,1.22,1.48,1.99,2.99,3.52,4.54,4.54,4.62,6.28,7.88,9.39,9.9,7.45,6.34,5.79,5.98,6.73,8.54,8.83,12.01,15.6,15.95,17.61,11.33,12.54,13.827,16.636,19.119,19.837,23.546,24.484,25.912,30.333,30.477
                Алтанбулаг,34104,Бүгд,67.63,35.16,69.03,71.86,75.71,74.49,66.61,55.36,60.34,61.12,59.12,64.06,68.51,70.63,68.61,67.84,65.61,67.8,75.5,83.46,92.1,91.13,100.58,92.23,79.86,101.63,117.3,133.52,135.21,153.92,136.73,94.34,96.42,89.1,104.49,123.79,153.24,173.02,182.67,208.1,133.14,165.46,183.741,214.57,260.278,277.068,291.983,306.732,310.988,331.646,334.678
                Алтанбулаг,34104,Адуу,10.09,6.5,10.02,9.57,10.29,11.35,10.47,8.97,8.7,8.72,8.44,8.73,8.9,9.14,9.14,9.12,9.45,9.44,10.07,10.74,11.27,10.74,11.87,12.26,12.87,15.35,16.78,18.69,20.18,22.59,19.56,12.6,13.01,11.4,14.1,15.5,17.58,17.39,16.92,17.61,13.08,15.44,16.943,19.633,23.427,25.131,25.776,25.691,22.829,23.96,24.438
                Алтанбулаг,34104,Үхэр,10.13,7.75,9.79,9.22,9.85,10.76,10.5,8.96,8.95,9.08,8.45,7.93,8.14,8.53,8.48,8.33,8.47,8.56,9.01,9.86,10.37,9.58,9.78,9.5,8.99,11.61,13.91,14.87,15.16,14.28,10.83,4.68,4.49,4.34,5.18,6.07,7.62,8.81,9.12,10.27,8.27,9.94,11.483,13.59,17.588,19.396,19.502,19.488,18.459,20.364,20.248
                Алтанбулаг,34104,Тэмээ,0.47,0.45,0.5,0.47,0.51,0.49,0.46,0.38,0.38,0.39,0.4,0.38,0.39,0.38,0.35,0.33,0.33,0.33,0.33,0.33,0.33,0.27,0.26,0.23,0.21,0.31,0.3,0.3,0.29,0.32,0.21,0.17,0.15,0.07,0.07,0.04,0.07,0.06,0.07,0.08,0.01,0.12,0.125,0.125,0.147,0.162,0.182,0.165,0.142,0.209,0.217
                Алтанбулаг,34104,Хонь,37.57,12.28,39.7,42.8,45.51,43.11,37.73,31.23,35.68,36.08,35.76,40.27,43.46,45.06,42.88,42.27,39.39,41.7,46.71,51.15,57.35,56.14,63.04,54.61,42.76,53.75,60.27,67.22,65.61,78.09,70.2,49.15,46.14,41.27,47.04,56.53,69.87,80.59,86.19,99.65,60.76,76.26,85.394,100.948,124.21,132.762,143.443,153.108,160.325,169.239,172.126
                Алтанбулаг,34104,Ямаа,9.38,8.19,9.03,9.8,9.56,8.79,7.45,5.82,6.63,6.86,6.07,6.75,7.62,7.52,7.76,7.79,7.97,7.77,9.38,11.37,12.78,14.41,15.64,15.64,15.03,20.61,26.04,32.44,33.98,38.63,35.94,27.73,32.62,32.03,38.1,45.65,58.1,66.18,70.37,80.5,51.01,63.71,69.796,80.274,94.906,99.617,103.08,108.28,109.233,117.874,117.649
                Аргалант,34107,Бүгд,,,,,,,,5.07,17.73,19.07,18.09,19.51,18.16,13.14,13.87,14.97,15.88,17.65,19.28,21.5,27.91,42.36,48.62,52.37,59.86,72.97,59.48,60.53,62.5,61.53,47.97,39.06,36.26,40.21,44.01,46.17,58.29,69.38,83.87,106.86,60.55,74.1,79.754,88.6,100.932,101.478,98.043,86.886,83.905,95.513,95.414
                Аргалант,34107,Адуу,,,,,,,,1.05,1.19,1.28,1.5,1.66,1.58,1.12,1.12,1.22,1.35,1.48,1.71,2,2.55,5.87,5.32,5.16,6.52,8.28,6.55,5.95,6.53,6.05,4.58,3.59,3.25,3.95,4.02,3.55,4.1,4.7,4.84,6.21,4.15,5.04,6.037,6.889,7.829,8.488,8.836,7.67,7.431,7.965,8.101
                Аргалант,34107,Үхэр,,,,,,,,0.74,2.09,2.33,2.42,3.34,3.53,3.39,3.55,3.38,3.54,4.04,3.98,4.39,4.81,5.6,6.33,5.55,6.45,7.89,6.89,5.43,5.88,4.56,3.21,2.01,1.93,1.91,2.18,2.22,2.84,3.33,3.96,4.96,3.39,4.07,5.1,6.04,7.603,8.337,7.591,6.625,6.27,7.765,7.81
                Аргалант,34107,Тэмээ,,,,,,,,0,0,,0.01,0.01,0.01,0.02,0.01,0,0,,0,0.03,0.02,0.03,0.06,0.1,0.06,0.09,0.05,0.06,0.02,0.01,0,,0.01,0.01,0.01,0,0.04,0.07,0.05,0,0.01,0.01,0.003,0.01,0.013,0.018,0.001,0.011,0.025,0.002,0.001
                Аргалант,34107,Хонь,,,,,,,,3.05,14.12,15.14,13.81,13.82,12.45,7.94,8.45,9.36,10,11.02,12.47,13.76,18.47,27.15,31.83,35,38.39,43.76,33.18,34.3,34.41,35.12,26.53,21.6,17.69,19.37,20.06,22.55,28.51,33.11,41.33,54.51,31.84,37.38,41.381,45.959,52.911,52.291,51.818,46.282,43.943,47.843,46.534
