"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
    Зүүн бүс,4,Бүгд,3309.67,3247.58,3273.63,3392.12,3537.95,3572.5,3421.7,3373.48,3603.89,3708.4,3450.67,3708.81,3592.64,3302.21,3244.97,3200.17,3150.89,3066.65,3153.77,3343.74,3439.95,3305.06,3253.47,2542.95,2841.24,2707.87,2785.51,3044.25,3412.6,3724.6,3790.01,3579.94,3719.95,3918.24,3973.18,4191.36,4642.12,5199.66,5155.67,5491.54,5273.76,5610.28,6098.221,6586.9,7480.454,8176.87,8656.917,9995.535,10739.501,11314.993,11311.194
    Зүүн бүс,4,Адуу,398.76,395.29,374.89,380.65,393.36,402.95,393.51,370.89,370.57,380.19,336.87,352.91,345.82,334.59,341.46,337.87,341.19,343.27,350.62,356.11,352.67,350.48,351.4,300.17,369.91,377.88,389.14,416.98,447.96,486.57,490.51,467.06,474.16,487.16,478.28,477.51,487.3,487.91,407.51,407.84,428.07,465.42,506.992,559.539,628.307,704.122,780.441,878.361,925.057,944.643,976.923
    Зүүн бүс,4,Үхэр,372.55,382.44,380.37,389.67,423.5,438.21,441.03,439.47,468.51,474.11,442.91,459.74,440.64,418.07,416.95,412.39,418.97,418.03,408.5,435.36,455.38,447.78,454.93,365.51,449.31,452.72,453.36,491.18,534.62,586.58,570.3,388.04,384.07,391.42,375.27,373.28,397.88,414.96,380.18,399.48,393.47,412.06,453.603,503.909,578.229,648.684,681.088,779.948,847.806,927.195,960.733
    Зүүн бүс,4,Тэмээ,47.95,47.43,46.23,47.01,48,48.97,48.29,47.01,48.35,49.02,45.78,47.46,45.07,43.89,43.36,42.46,41.83,40.17,40.38,40.92,39.15,34.45,30.38,23.69,26.9,25.31,24.53,24.9,25.43,25.81,25.41,24.52,24.86,25.13,24.46,23.23,22.38,21.88,19.97,20.19,20.54,19.93,18.43,17.203,16.986,17.265,17.386,18.102,18.579,18.482,17.855
    Зүүн бүс,4,Хонь,2201.31,2147.88,2185.74,2270.33,2359.37,2353.24,2220.24,2194.81,2369.81,2448.04,2302.36,2486.57,2416.29,2193.68,2128.39,2092.52,2033.62,1963.47,2035,2146.78,2214.24,2107.79,2012.33,1482.08,1527.23,1336.02,1341.12,1445.51,1617.59,1799.79,1844.41,1781.75,1773.56,1788.5,1817.72,1948.17,2157.99,2395.99,2429.97,2643.45,2580.3,2693.88,2953.356,3218.359,3653.442,3995.823,4311.697,5029.344,5423.34,5688.452,5641.708
    Зүүн бүс,4,Ямаа,289.1,274.55,286.39,304.47,313.73,329.13,318.62,321.3,346.65,357.05,322.75,362.12,344.82,311.98,314.81,314.94,315.29,301.72,319.27,364.57,378.52,364.55,404.44,371.5,467.89,515.95,577.37,665.68,786.99,825.86,859.38,918.57,1063.31,1226.02,1277.45,1369.17,1576.33,1878.92,1918.05,2020.58,1851.38,2018.99,2165.84,2287.89,2603.49,2810.976,2866.305,3289.78,3524.719,3736.221,3713.975
            Дорнод,421,Бүгд,992.08,1015.15,975.29,1022.13,1072.72,1094.76,1028.17,1019.04,1091.9,1114.17,1036.94,1130.53,1102.91,990.64,929.68,930.09,876.07,887.56,897.23,923.69,936.65,888.91,802.13,712.72,650.32,591.39,594.17,657.19,735.66,811.75,826.17,794.09,825.38,843.81,887.9,978.52,1113.32,1307.29,1476.22,1450.73,1113.28,1149.76,1207.253,1220.143,1393.447,1555.425,1722.91,2057.808,2377.783,2629.622,2749.684
            Дорнод,421,Адуу,98.25,102.97,98.3,103.28,106.5,110.85,108.06,103.81,99.27,101,80.99,85.4,83.39,82.47,84.25,85.04,83.88,85.7,87.93,90.86,92,93.05,92.44,92.5,92.8,88.41,87.02,89.85,95.36,104,105.53,109.62,115.55,121.81,124.65,128.75,134.96,142.93,145.48,140.05,136.3,144.1,150.845,160.902,176.507,196.537,224.992,250.718,278.811,297.372,324.452
            Дорнод,421,Үхэр,96.82,101.71,101.15,107.94,119.08,122.19,122.1,122.13,128.34,130.95,125.27,131.2,123.17,113.94,112.15,112.16,113.23,115.32,115.35,121.27,126.1,123.98,123.31,117.64,114.98,111.69,111.11,121.83,132.85,146.19,142.72,100.05,99.7,101.05,98.53,99.81,106.44,117.51,123.81,126.81,107.84,109.68,119.737,124.696,142.503,163.65,175.55,207.861,243.14,277.423,305.105
            Дорнод,421,Тэмээ,15.62,15.87,15.47,16.23,16.63,17.31,17.06,17.21,17.3,17.49,15.72,16.64,16.01,16,15.32,14.89,14.36,14.19,14.32,14.37,13.33,11.82,9.85,8.56,7.67,6.83,6.24,6.08,6.1,6.01,5.92,6.01,6.22,6.3,6.36,6.34,6.04,6.28,6.31,6.37,5.97,5.56,5.007,4.714,4.635,4.908,5.183,5.579,6.063,6.301,6.217
