"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
    Хангайн бүс,2,Бүгд,7286.07,7311.23,7429.82,7450.72,7743.28,7782.48,7543.94,7473.9,7764.74,7764.61,7765.14,7979.87,8236.27,7749.38,7323.91,6997.12,6977.53,7041.38,7079.58,7584.2,8080.56,8083.24,8209.42,8136.3,8945.43,9570.23,9810.83,10652.88,11439.11,11958.64,10711.76,8683.38,7724.62,8131.74,9050.89,10090.42,11852.63,14030.93,15971.22,16716.23,12216.47,13472.39,15379.51,16790.693,19283.806,20481.571,23163.735,24404.788,24323.063,26246.453,22752.39
    Хангайн бүс,2,Адуу,826.51,786.33,772.26,734.77,748.88,748.44,734.02,722.83,714.99,713.42,688.7,690.18,711.39,694.97,695.47,688.46,709.54,713.55,723.39,753.34,789.54,793.66,773.49,793.49,895.8,991.98,1030.36,1077.59,1149.27,1220.1,1024.24,796.74,703.6,679.12,684.9,693.97,740.7,799.64,841.63,876.83,726.5,794.98,874.956,984.859,1123.007,1214.761,1348.346,1439.697,1395.38,1530.379,1370.587
    Хангайн бүс,2,Үхэр,874.99,886.83,887,894.15,928.64,965.18,968.96,967.88,1006.02,999.69,1073.2,957.17,978.15,969.23,971.4,967.77,987.01,1002.97,1004.22,1056.15,1134.86,1139.46,1146.25,1135.83,1261.01,1396.05,1480.42,1564.09,1637.74,1732.77,1429.96,904.29,808.28,727.78,747.86,815.83,917.95,1046.66,1139.85,1218.82,985.94,1050.92,1150.677,1277.274,1489.411,1643.649,1806.824,1934.447,1888.542,2076.047,1967.727
    Хангайн бүс,2,Тэмээ,112.41,107.06,106.14,107.91,108.17,109.69,109.62,109.93,109.13,109.61,103.65,103.94,105.08,104.78,99.24,93.44,92.5,91.98,90.83,91.59,90.67,81.24,69.13,64.76,66.5,68.1,65.65,65.35,65.49,66.11,60.04,47.96,37.42,39.16,38.82,39.52,39.84,42.37,45.16,49.11,49.01,50.25,57.089,61.258,68.089,71.939,80.598,88.088,93.817,96.071,87.083
    Хангайн бүс,2,Хонь,4236.43,4293.62,4360.45,4403.52,4615.39,4633.59,4421.66,4370.51,4541.27,4568.24,4613.19,4802.85,4928.75,4539.5,4245.5,4012.27,3924.36,3966.35,3982.36,4227.49,4526.81,4453.69,4466.9,4205.84,4382.33,4384.06,4320.68,4579.88,4876.21,5199.59,4667.99,3871.24,3401.18,3420.07,3784.58,4283.27,5053.68,5967.75,6817.58,7379.5,5384.68,5848.04,6940.405,7572.983,8736.701,9291.034,10694.334,11329,11459.277,12243.524,10553.525
    Хангайн бүс,2,Ямаа,1235.73,1237.39,1303.97,1310.36,1342.21,1325.59,1309.67,1302.75,1393.33,1388.65,1389.41,1425.73,1512.9,1440.89,1312.31,1235.18,1264.11,1266.54,1278.78,1455.63,1538.68,1615.19,1753.65,1936.38,2339.79,2730.04,2913.72,3365.96,3710.41,3740.06,3529.54,3063.14,2774.14,3265.6,3794.73,4257.84,5100.47,6174.51,7127,7191.97,5070.34,5728.2,6356.383,6894.319,7866.598,8260.188,9233.633,9613.556,9486.047,10300.432,8773.468
            Орхон,261,Бүгд,,,,,,,2.5,5.7,6.7,,8.82,13.9,19.16,21.96,24.03,25.99,25.99,30.14,36.3,43.13,53.5,72.97,92.14,105.66,110.92,127.29,123.1,120.31,132.28,163.92,168.51,168.85,159.72,107.93,115.21,137.29,174.43,209.97,268.9,256.18,169.2,168.34,184.51,178.956,123.202,119.75,134.204,122.335,114.35,126.948,136.988
            Орхон,261,Адуу,,,,,,,0.3,0.5,0.5,3.7,0.69,1.08,1.45,1.7,1.87,2.05,2.05,2.33,2.57,3.07,4.27,5.33,6.6,8.31,8.63,11.49,11.48,10.84,10.88,12.84,11.5,11.56,11.63,7.77,9.72,7.8,9.18,10.53,11.31,11.43,10.71,11.78,11.766,11.569,9.127,9.127,11.335,12.25,11.345,12.232,12.812
            Орхон,261,Үхэр,,,,,,,1.1,1.9,2.9,2.7,4.41,5.31,6.3,7.21,7.6,7.9,7.9,9.06,10.48,11.53,13.44,16.6,19.74,20.35,20.45,24.47,25.48,22.74,23.98,27.81,26.19,22.29,20.6,11.93,11.42,13.24,15.51,18.28,21.13,21.85,17.77,18.8,20.546,21.629,18.177,19.188,21.603,21.9,17.477,19.041,20.335
            Орхон,261,Тэмээ,,,,,,,,,,0.6,,,,,,,,,,,,,0.01,0,0.01,0.04,0.04,0.06,0.05,0.1,0.1,0.11,0.12,0.11,0.09,0.08,0.12,0.11,0.17,0.17,0.18,0.17,0.181,0.145,0.061,0.021,0.038,0.039,0.056,0.069,0.057
