AREA,PERIMETER,SOUMCENT_,SOUMCENT_I,NAME
0.000,0.000,"1","2",Öàãààí íóóð
0.000,0.000,"2","3",Óëààíõóñ
0.000,0.000,"3","4",Öýíãýë
0.000,0.000,"4","5",Áóÿíò
0.000,0.000,"5","6",Àëòàé
0.000,0.000,"6","7",Áóãàò
0.000,0.000,"7","9",Àëòàíöºãö
0.000,0.000,"8","10",Áàÿííóóð
0.000,0.000,"9","11",Òîëáî
0.000,0.000,"10","12",Äýë¿¿í
0.000,0.000,"11","13",Ýðäýíýá¿ðýí
0.000,0.000,"12","14",Ìÿíãàä
0.000,0.000,"13","15",Áóÿíò
0.000,0.000,"14","17",Õîâä
0.000,0.000,"15","18",Äóóò
0.000,0.000,"16","19",Ìºíõõàéðõàí
0.000,0.000,"17","20",Ìàíõàí
0.000,0.000,"18","21",×àíäìàíü
0.000,0.000,"19","22",Äºðãºí
0.000,0.000,"20","23",Çýðýã
0.000,0.000,"21","24",Õºõìîðüò
0.000,0.000,"22","25",Óðãàìàë
0.000,0.000,"23","26",Äºðâºëæèí
0.000,0.000,"24","27",Ýðäýíýõàéðõà
0.000,0.000,"25","28",Çàâõàíìàíäàë
0.000,0.000,"26","29",Ñàíòìàðãàö
0.000,0.000,"27","30",Ñîíãèíî
0.000,0.000,"28","31",Öýöýí-Óóë
0.000,0.000,"29","32",Òýñ
0.000,0.000,"30","33",Ç¿¿íõàíãàé
0.000,0.000,"31","34",ªíäºðõàíãàé
0.000,0.000,"32","35",Öàãààíõàéðõà
0.000,0.000,"33","36",Áàðóóíòóðóóí
0.000,0.000,"34","37",Ç¿¿íîâü
0.000,0.000,"35","38",Òýñ
0.000,0.000,"36","39",Õÿðãàñ
0.000,0.000,"37","40",Ìàë÷èí
0.000,0.000,"38","41",Çàâõàí
0.000,0.000,"39","42",ªëãèé
0.000,0.000,"40","43",ªìíºãîâü
0.000,0.000,"41","44",Íàðàíáóëàã
0.000,0.000,"42","45",Òàðèàëàí
0.000,0.000,"43","46",Õàðõèðàà
0.000,0.000,"44","48",Äàâñò
0.000,0.000,"45","49",Ñàãèë
0.000,0.000,"46","50",Ò¿ðãýí
0.000,0.000,"47","51",Áºõìºðºí
0.000,0.000,"48","52",Õîâä
0.000,0.000,"49","53",Áóëãàí
0.000,0.000,"50","54",Áóëãàí
0.000,0.000,"51","55",¯åí÷
0.000,0.000,"52","56",Àëòàé
0.000,0.000,"53","57",Ìºñò
0.000,0.000,"54","58",Öýöýã
0.000,0.000,"55","59",Äàðâè
0.000,0.000,"56","60",Òîíõèë
0.000,0.000,"57","61",Áóãàò
0.000,0.000,"58","62",Àëòàé
0.000,0.000,"59","63",Öýýë
0.000,0.000,"60","64",Òºãðºã
0.000,0.000,"61","65",Øàðãà
0.000,0.000,"62","66",Äàðâè
0.000,0.000,"63","67",Áàÿí-Óóë
0.000,0.000,"64","68",Æàðãàëàí
0.000,0.000,"65","69",Áàÿíòýñ
0.000,0.000,"66","70",Àñãàò
0.000,0.000,"67","71",Áàÿíõàéðõàí
0.000,0.000,"68","72",Ò¿äýâòýé
0.000,0.000,"69","73",Íºìðºã
0.000,0.000,"70","74",ßðóó
0.000,0.000,"71","75",Òýëìýí
0.000,0.000,"72","76",Òîñîíöýíãýë
0.000,0.000,"73","78",Èäýð
0.000,0.000,"74","80",Öàãààíõàéðõà
0.000,0.000,"75","81",Öàãààí÷óëóóò
0.000,0.000,"76","82",Îòãîí
0.000,0.000,"77","83",Ãóðâàíáóëàã
0.000,0.000,"78","84",Æàðãàëàíò
0.000,0.000,"79","85",Õàíãàé
0.000,0.000,"80","86",Òàðèàò
0.000,0.000,"81","87",×óëóóò
0.000,0.000,"82","88",
0.000,0.000,"83","89",Æàðãàëàíò
0.000,0.000,"84","90",Öýöýðëýã
0.000,0.000,"85","91",Ýðäýíýìàíäàë
0.000,0.000,"86","92",Õàéðõàí
0.000,0.000,"87","93",ªëçèéò
0.000,0.000,"88","94",Áàòöýíãýë
0.000,0.000,"89","95",ªãèéíóóð
0.000,0.000,"90","96",Õàøààò
0.000,0.000,"91","97",Õîòîíò
0.000,0.000,"92","98",Öýíõýð
0.000,0.000,"93","100",Èõòàìèð
0.000,0.000,"94","101",Òºâøð¿¿ëýõ
0.000,0.000,"95","102",ªíäºð-Óëààí
0.000,0.000,"96","103",Õàðõîðèí
0.000,0.000,"97","104",Ãóðâàíáóëàã
0.000,0.000,"98","105",Á¿ðýãõàíãàé
0.000,0.000,"99","106",Õèøèã-ªíäºð
0.000,0.000,"100","107",Ìîãîä
0.000,0.000,"101","108",Ñàéõàí
0.000,0.000,"102","109",Îðõîí
0.000,0.000,"103","111",Áóãàò
0.000,0.000,"104","112",Ñýëýíãý
0.000,0.000,"105","113",Òýøèã
0.000,0.000,"106","114",Õóòàã-ªíäºð
0.000,0.000,"107","115",Áàÿí-Àãò
0.000,0.000,"108","117",Òàðèàëàí
0.000,0.000,"109","119",Ýðäýíýáóëãàí
0.000,0.000,"110","120",Öàãààí-¯¿ð
0.000,0.000,"111","121",×àíäìàíü-ªíäº
0.000,0.000,"112","131",Àëàã-Ýðäýíý
0.000,0.000,"113","132",Õàòãàë
0.000,0.000,"114","134",Ðýí÷èíëõ¿ìáý
0.000,0.000,"115","135",Óëààí-Óóë
0.000,0.000,"116","136",Öàãààí íóóð
0.000,0.000,"117","142",Òàéøèð
0.000,0.000,"118","143",Øèë¿¿ñòýé
0.000,0.000,"119","145",Õàëèóí
0.000,0.000,"120","147",Äýëãýð
0.000,0.000,"121","148",Áèãýð
0.000,0.000,"122","149",×àíäìàíü
0.000,0.000,"123","150",Öîãò
0.000,0.000,"124","166",Ýðäýíý
0.000,0.000,"125","189",Ñàéõàí-Îâîî
0.000,0.000,"126","191",Áóëãàí
0.000,0.000,"127","192",Áàÿíäàëàé
0.000,0.000,"128","193",Íî¸í
0.000,0.000,"129","194",Ñýâðýé
0.000,0.000,"130","195",Ãóðâàíòýñ
0.000,0.000,"131","198",Æàðãàëàíò
0.000,0.000,"132","202",Îðõîíòóóë
0.000,0.000,"133","203",Áàðóóíá¿ðýí
0.000,0.000,"134","204",Õàíãàë
0.000,0.000,"135","205",Îðõîí
0.000,0.000,"136","208",Ò¿øèã
0.000,0.000,"137","209",Öàãààí íóóð
0.000,0.000,"138","210",Ç¿¿íá¿ðýí
0.000,0.000,"139","211",Õóøààò
0.000,0.000,"140","212",Îðõîí
0.000,0.000,"141","213",Äóëààíõààí
0.000,0.000,"142","214",Øààìàð
0.000,0.000,"143","215",Àëòàí áóëàã
0.000,0.000,"144","216",Æàâõëàíò
0.000,0.000,"145","217",Åðºº
0.000,0.000,"146","218",Åðºº
0.000,0.000,"147","219",Øàðûí ãîë
0.000,0.000,"148","221",Áàÿíãîë
0.000,0.000,"149","222",Ç¿¿íõàðàà
0.000,0.000,"150","223",Ò¿íõýë
0.000,0.000,"151","224",Ìàíäàë
0.000,0.000,"152","225",Ñàíò
0.000,0.000,"153","276",Äýëãýðõààí
0.000,0.000,"154","277",Á¿ðýí
0.000,0.000,"155","278",Áàÿí-ªíæ¿¿ë
0.000,0.000,"156","279",Áàÿíöàãààí
0.000,0.000,"157","280",Áàÿíìºíõ
0.000,0.000,"158","281",Äàðõàí
0.000,0.000,"159","282",Ãàëøàð
0.000,0.000,"160","283",Á¿ðýíöîãò
0.000,0.000,"161","284",Ò¿âøèíøèðýý
0.000,0.000,"162","308",Àäààöàã
0.000,0.000,"163","309",Ýðäýíýäàëàé
0.000,0.000,"164","310",Äýëãýðõàíãàé
0.000,0.000,"165","311",Õóëä
0.000,0.000,"166","317",Öîãò-Îâîî
0.000,0.000,"167","318",Ìàíäàë-Îâîî
