"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
            Улаанбаатар,511,Бүгд,31.95,38.57,41.2,53.5,57.9,63.2,65.3,65.1,59.3,,52,55.78,60.83,72.53,75.12,80.19,80.19,93.71,99.64,118.29,143.55,206.35,275.14,266.26,247.76,294.31,305.79,301.18,300.96,239.35,230.64,221.42,233.46,243.25,226.36,247.11,321.97,331.22,384.82,400.83,262.88,278.92,308.46,329.089,385.364,403.655,438.329,423.644,411.781,444.891,468.69
            Улаанбаатар,511,Адуу,7.41,7.89,6.8,8.7,8.1,9.2,8.8,9.2,8.1,27,7.28,8.08,8.27,8.55,8.45,10.01,10.01,10.91,11.02,11.93,15.28,22.07,25.51,24.12,24.45,27.75,26.75,23.89,24.02,21.73,20.07,18.28,16.21,17.46,17.59,16.84,19.51,19.02,18.73,21.97,20.79,22.49,25.803,30.202,33.864,36.735,45.177,43.341,42.794,48.036,57.609
            Улаанбаатар,511,Үхэр,13.81,15.6,15.4,23.8,26.6,27.7,27.6,27.6,29.4,13.7,25.29,26.28,27.79,30.57,31.34,32.05,32.05,36.91,38.07,42.65,44.92,51.82,58.2,53.03,48.12,64.29,65.16,59.52,56.96,52.57,48.58,44.76,45.4,44.81,45.37,50.04,55,58.2,58.99,59.54,54.91,56.9,60.598,64.611,76.57,86.006,89.8,88.845,80.835,85.652,89.513
            Улаанбаатар,511,Тэмээ,,,,,,,,,,7.4,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.04,0.09,0.14,0.09,0.1,0.09,0.09,0.07,0.06,0.08,0.06,0.06,0.05,0.04,0.09,0.1,0.12,0.15,0.21,0.23,0.15,0.177,0.12,0.154,0.233,0.247,0.251,0.233,0.258,0.245
            Улаанбаатар,511,Хонь,4.21,7.49,11.4,13.7,15.5,19,20.7,20.3,14.9,4.7,14.65,15.95,18.33,26.29,28,30.53,30.53,36.65,40.24,50.85,65.78,104.08,147.84,144.82,132.55,145.18,148.99,145.13,142.52,109.65,102.81,94.84,94.15,96.76,85.26,94.2,129.02,128.67,154.51,167.91,101.57,105.75,124.732,134.616,158.853,162.322,176.813,170.173,166.336,176.709,174.896
            Улаанбаатар,511,Ямаа,6.52,7.59,7.6,7.3,7.7,7.3,8.2,8,6.9,52.8,4.76,5.46,6.41,7.11,7.31,7.58,7.58,9.22,10.3,12.85,17.55,28.33,43.5,44.15,42.54,56.98,64.8,72.55,77.4,55.34,59.1,63.48,77.64,84.18,78.1,85.94,118.33,125.21,152.44,151.2,85.39,93.64,97.15,99.54,115.923,118.359,126.292,121.034,121.583,134.236,146.427
                Багануур,51101,Бүгд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.439,122.966,149.123,154.983,178.774,172.049,184.337,200.183,194.501
                Багануур,51101,Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.142,9.336,10.937,11.665,14.043,13.391,14.652,16.066,15.294
                Багануур,51101,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.937,8.617,11.091,12.319,14.198,14.563,15.866,16.823,18.067
                Багануур,51101,Тэмээ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.097,0.11,0.203,0.209,0.224,0.203,0.21,0.205
