"МАЛЫН ТОО, төрлөөр, улс, бүс, аймаг, нийслэл, сум, дүүрэг, багаар, хороогоор, жилээр",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Баг, хороо","Баг, хорооны код",Малын төрөл,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
    Баруун бүс,1,Бүгд,7246.47,7570.68,7600.46,7856.79,7760.02,7630.71,7510.5,7169.72,7413.02,7546.62,7584.58,7571.29,7657,7350.63,6945.97,7319.57,7448.67,7659.06,7801.25,8159.19,8499.7,8158.19,8178.9,8227.63,8989.7,9683.02,9687.38,9971.21,9798.66,9665.36,8702.4,7587.27,6482.23,7410.78,8524.74,9241.84,10914.92,12301.84,12157.44,10888.36,7418.46,8525.36,9670.834,10832.745,12544.511,13711.182,15135.83,16201.579,15557.376,16004.298,15845.175
    Баруун бүс,1,Адуу,510.88,535.83,540.69,542.67,552.87,522.15,510.44,477.56,458.91,457.39,457.21,463.15,469.73,447.8,448.56,470.03,486.83,505.13,525.66,549.52,562.2,537.2,506.72,488.27,549.1,610.1,633.42,630.89,623.11,598.77,474.11,390.47,313.22,327.62,347.55,363.49,403.31,441.49,431.12,397.56,299.97,332.69,369.459,414.569,478.38,534.402,607.166,676.118,700.207,734.541,729.499
    Баруун бүс,1,Үхэр,497.31,544.17,549.05,563.38,579.95,557.22,546.18,529.12,533.81,536.74,546.71,546.91,536.8,530.57,524.1,563.95,586.21,617.93,635.71,662.93,692.36,656.06,636.32,624.57,730.26,834.05,863.84,856.39,812.4,783.5,557.35,398.26,339.54,357.74,391,421.81,478.77,529.66,501.39,446.38,323.49,369.36,423.843,497.468,599.281,675.357,742.22,815.963,822.739,854.555,858.963
    Баруун бүс,1,Тэмээ,169.11,173.19,171.47,172.96,171.55,169.52,168.17,166.48,163.32,164.39,164.08,162.68,159.68,153.87,151.2,153.03,154.05,156.17,158.39,158.64,155.45,136.37,119.56,110.59,112.32,114.12,109.99,106.2,103.9,100.94,88.78,78.9,66.79,68.99,68.06,68.16,70.62,73.07,71.31,70.89,64.8,67.64,74.274,77.791,84.128,88.553,96.212,103.905,107.568,109.828,108.626
    Баруун бүс,1,Хонь,4392.71,4582.04,4614.59,4765.16,4671.71,4619.97,4528.01,4325.99,4510.47,4619.89,4669.82,4694.25,4736.83,4529.44,4244.57,4424.36,4471.58,4591.39,4659.81,4865.87,5111.78,4877.24,4855.85,4715.43,4816.07,4860.4,4693.63,4758.2,4593.48,4537.26,4155.98,3503.77,2880.81,3082.22,3495.22,3862.59,4540.81,5066.83,5008.19,4632.99,3086.32,3414.71,4034.515,4549.412,5318.107,5758.525,6417.551,6903.224,6606.928,6729.714,6431.828
    Баруун бүс,1,Ямаа,1676.46,1735.45,1724.65,1812.62,1783.93,1761.85,1757.71,1670.57,1746.51,1768.21,1746.77,1704.3,1753.96,1688.95,1577.69,1708.2,1750,1788.44,1821.67,1922.22,1977.92,1951.31,2060.45,2288.77,2781.96,3264.35,3386.51,3619.54,3665.77,3644.9,3426.17,3215.88,2881.88,3574.21,4222.91,4525.8,5421.41,6190.8,6145.44,5340.53,3643.89,4340.96,4768.743,5293.505,6064.615,6654.345,7272.681,7702.369,7319.934,7575.66,7716.259
            Завхан,181,Бүгд,1686.63,1781.6,1821.65,1811.15,1786.86,1837.52,1867.61,1713.04,1832.01,1842.19,1875.89,1777.74,1864.13,1795.56,1690.81,1703.93,1744.61,1804.2,1834.6,1987.32,2133.4,2079.85,2085.01,2003.83,2246.84,2401.44,2474.54,2556.54,2603.62,2432.02,1941.32,1486.71,1443.22,1628.61,1901.8,2102.15,2550.79,3000.01,3135.97,2827.6,1717.7,2006.12,2279.996,2539.008,2895.886,3133.018,3406.207,3597.278,3555.411,3849.906,3607.838
            Завхан,181,Адуу,145.77,149.4,149.04,145.02,145.49,140.52,136.76,126.67,122,118.66,118.5,119.1,121.77,116.94,118.31,120.74,125.75,132.07,140.62,149.19,156.46,151.82,149.58,143.91,168.73,189.49,200.4,204.79,204.99,192.21,139.01,101.87,93.44,94.12,96.1,101.15,113.24,127.21,129.39,124.04,93.4,105.41,116.762,130.128,147.4,163.112,186.18,207.444,222.534,243.677,236.749
            Завхан,181,Үхэр,138.9,150.91,150.35,151.12,153.97,154.43,153.7,145.96,146.81,147.79,146.95,141.24,135.76,138.71,145.46,152.16,157.24,165.75,167.44,179.63,195.8,195.45,194.23,189.51,226.25,258.2,275.35,283.82,281.88,271.42,158.02,88.8,83.15,87.38,96.25,107.15,127.23,146.95,149.76,137.42,73.7,83.27,98.346,115.283,138.892,158.86,172.359,192.16,204.995,228.7,224.995
            Завхан,181,Тэмээ,20.87,22.72,21.78,21.42,20.59,19.91,19.48,18.29,17.75,17.35,16.89,16.41,15.94,15.19,14.75,14.32,14.55,14.8,15.23,15.42,15.28,12.65,11.59,10.58,11.29,11.57,11.14,10.8,11.14,10.84,8.74,7.87,7.05,7.12,6.43,6.27,6.59,6.85,6.61,6.58,5.83,6.17,6.353,6.289,6.558,6.72,6.924,7.49,7.753,8.021,8.11
            Завхан,181,Хонь,1104.76,1167.25,1203.71,1198.42,1170.69,1218.26,1246.36,1143.64,1236.45,1252.92,1300.65,1231.12,1301.24,1240.33,1142.71,1142.33,1159.82,1195.17,1203.14,1303.87,1402.85,1367.33,1358.52,1257.03,1325.74,1329.28,1320.75,1347.6,1353.71,1263.92,1050.55,757.91,714.97,773.6,903.13,1026.4,1251.47,1465.35,1554.64,1461.99,859.07,979.64,1147.878,1280.01,1464.423,1562.653,1730.203,1837.731,1827.458,1950.937,1799.761
            Завхан,181,Ямаа,276.33,291.31,296.76,295.17,296.12,304.41,311.31,278.48,309.01,305.46,292.9,269.87,289.42,284.39,269.59,274.39,287.25,296.41,308.17,339.21,363.01,352.61,371.08,402.8,514.83,612.91,666.9,709.54,751.91,693.64,585,530.26,544.62,666.4,799.89,861.17,1052.26,1253.65,1295.57,1097.58,685.7,831.63,910.657,1007.298,1138.613,1241.673,1310.541,1352.453,1292.671,1418.571,1338.223
                Улиастай,18101,Бүгд,4.05,3.94,3.16,3.42,6.79,10.62,11.62,13.23,11.17,11.63,11.83,14.88,14.15,18.25,19.15,25.53,16.31,18.18,20.08,30.3,53.49,56.39,73.51,82.68,102.56,113.93,113.98,111.71,90.17,79.32,73.84,55.17,52.63,67.08,76.43,73.34,91.3,108.72,131,117.64,57.27,93.39,79.709,94.436,111.087,119.351,126.375,128.337,132.828,154.001,147.255
                Улиастай,18101,Адуу,0.69,0.87,0.44,0.56,0.65,0.8,0.93,1.3,0.77,0.69,0.68,0.68,1,1.29,1.23,1.78,0.92,0.92,1.1,1.56,2.45,3.17,3.44,3.36,4.05,4.26,4.31,3.71,2.61,2.39,2.07,1.69,1.47,1.68,1.66,1.55,1.67,1.83,2.07,2.05,1.56,1.87,2.431,3.327,3.582,3.703,4.005,4.651,5.496,6.637,6.356
